[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:50:59 TP0] Decode batch, #running-req: 1, #token: 3584, token usage: 0.00, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 291.10, #queue-req: 0
[2026-04-02 11:50:59 TP0] Decode batch, #running-req: 1, #token: 3648, token usage: 0.00, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 334.44, #queue-req: 0
[2026-04-02 11:50:59 TP0] Decode batch, #running-req: 1, #token: 3776, token usage: 0.00, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 299.76, #queue-req: 0
[2026-04-02 11:51:00 TP0] Decode batch, #running-req: 1, #token: 3904, token usage: 0.00, accept len: 2.88, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 335.72, #queue-req: 0
[2026-04-02 11:51:00 TP0] Decode batch, #running-req: 1, #token: 3968, token usage: 0.00, accept len: 2.50, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 283.06, #queue-req: 0
[2026-04-02 11:51:00 TP0] Decode batch, #running-req: 1, #token: 4096, token usage: 0.00, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 254.14, #queue-req: 0
[2026-04-02 11:51:01 TP0] Decode batch, #running-req: 1, #token: 4160, token usage: 0.00, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 310.93, #queue-req: 0
[2026-04-02 11:51:01 TP0] Decode batch, #running-req: 1, #token: 4288, token usage: 0.00, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 310.87, #queue-req: 0
[2026-04-02 11:51:01 TP0] Decode batch, #running-req: 1, #token: 4416, token usage: 0.00, accept len: 2.50, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 291.73, #queue-req: 0
[2026-04-02 11:51:02 TP0] Decode batch, #running-req: 1, #token: 4544, token usage: 0.00, accept len: 3.17, accept rate: 0.79, cuda graph: True, gen throughput (token/s): 368.88, #queue-req: 0
[2026-04-02 11:51:02 TP0] Decode batch, #running-req: 1, #token: 4608, token usage: 0.00, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 271.18, #queue-req: 0
[2026-04-02 11:51:02 TP0] Decode batch, #running-req: 1, #token: 4736, token usage: 0.00, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 304.89, #queue-req: 0
[2026-04-02 11:51:03 TP0] Decode batch, #running-req: 1, #token: 4800, token usage: 0.00, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 303.75, #queue-req: 0
[2026-04-02 11:51:03 TP0] Decode batch, #running-req: 1, #token: 4928, token usage: 0.00, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 277.64, #queue-req: 0
[2026-04-02 11:51:03 TP0] Decode batch, #running-req: 1, #token: 5056, token usage: 0.00, accept len: 2.95, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 338.41, #queue-req: 0
[2026-04-02 11:51:04 TP0] Decode batch, #running-req: 1, #token: 5184, token usage: 0.00, accept len: 3.35, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 382.14, #queue-req: 0
[2026-04-02 11:51:04 TP0] Decode batch, #running-req: 1, #token: 5248, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 259.31, #queue-req: 0
