[2026-04-02 11:58:28] INFO:     127.0.0.1:35568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35576 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35588 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35596 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35602 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35614 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35626 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35638 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:43 TP0] Decode batch, #running-req: 8, #token: 22336, token usage: 0.01, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1291.88, #queue-req: 0
[2026-04-02 11:58:44 TP0] Decode batch, #running-req: 8, #token: 23040, token usage: 0.01, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1302.36, #queue-req: 0
[2026-04-02 11:58:45 TP0] Decode batch, #running-req: 8, #token: 23872, token usage: 0.01, accept len: 2.37, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1355.86, #queue-req: 0
[2026-04-02 11:58:45 TP0] Decode batch, #running-req: 8, #token: 24576, token usage: 0.01, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1273.60, #queue-req: 0
[2026-04-02 11:58:46 TP0] Decode batch, #running-req: 8, #token: 25408, token usage: 0.02, accept len: 2.57, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 1458.33, #queue-req: 0
[2026-04-02 11:58:46 TP0] Decode batch, #running-req: 8, #token: 26048, token usage: 0.02, accept len: 2.22, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1267.88, #queue-req: 0
[2026-04-02 11:58:47 TP0] Decode batch, #running-req: 8, #token: 26880, token usage: 0.02, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1335.59, #queue-req: 0
[2026-04-02 11:58:47 TP0] Decode batch, #running-req: 8, #token: 27584, token usage: 0.02, accept len: 2.32, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1321.78, #queue-req: 0
[2026-04-02 11:58:48 TP0] Decode batch, #running-req: 8, #token: 28352, token usage: 0.02, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1313.48, #queue-req: 0
[2026-04-02 11:58:48 TP0] Decode batch, #running-req: 8, #token: 28992, token usage: 0.02, accept len: 2.35, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1347.19, #queue-req: 0
[2026-04-02 11:58:49 TP0] Decode batch, #running-req: 8, #token: 29824, token usage: 0.02, accept len: 2.34, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1333.74, #queue-req: 0
[2026-04-02 11:58:50 TP0] Decode batch, #running-req: 8, #token: 30528, token usage: 0.02, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1234.72, #queue-req: 0
[2026-04-02 11:58:50 TP0] Decode batch, #running-req: 8, #token: 31232, token usage: 0.02, accept len: 2.31, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1306.91, #queue-req: 0
[2026-04-02 11:58:51 TP0] Decode batch, #running-req: 8, #token: 31936, token usage: 0.02, accept len: 2.13, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1199.83, #queue-req: 0
[2026-04-02 11:58:51 TP0] Decode batch, #running-req: 8, #token: 32640, token usage: 0.02, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1274.35, #queue-req: 0
[2026-04-02 11:58:52 TP0] Decode batch, #running-req: 8, #token: 33408, token usage: 0.02, accept len: 2.36, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1330.05, #queue-req: 0
[2026-04-02 11:58:52 TP0] Decode batch, #running-req: 8, #token: 34176, token usage: 0.02, accept len: 2.35, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1318.13, #queue-req: 0
