[2026-04-02 15:14:10] INFO:     127.0.0.1:59882 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 15:14:24 TP0] Decode batch, #running-req: 1, #token: 3749, token usage: 0.01, accept len: 2.60, accept rate: 0.65, cuda graph: True, gen throughput (token/s): 237.51, #queue-req: 0
[2026-04-02 15:14:24 TP0] Decode batch, #running-req: 1, #token: 3844, token usage: 0.01, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 211.04, #queue-req: 0
[2026-04-02 15:14:25 TP0] Decode batch, #running-req: 1, #token: 3939, token usage: 0.01, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 220.98, #queue-req: 0
[2026-04-02 15:14:25 TP0] Decode batch, #running-req: 1, #token: 4068, token usage: 0.01, accept len: 3.27, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 303.29, #queue-req: 0
[2026-04-02 15:14:26 TP0] Decode batch, #running-req: 1, #token: 4178, token usage: 0.01, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 248.02, #queue-req: 0
[2026-04-02 15:14:26 TP0] Decode batch, #running-req: 1, #token: 4281, token usage: 0.01, accept len: 2.62, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 238.82, #queue-req: 0
[2026-04-02 15:14:26 TP0] Decode batch, #running-req: 1, #token: 4385, token usage: 0.01, accept len: 2.62, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 242.09, #queue-req: 0
[2026-04-02 15:14:27 TP0] Decode batch, #running-req: 1, #token: 4507, token usage: 0.01, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 275.87, #queue-req: 0
[2026-04-02 15:14:27 TP0] Decode batch, #running-req: 1, #token: 4631, token usage: 0.01, accept len: 3.10, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 282.29, #queue-req: 0
[2026-04-02 15:14:28 TP0] Decode batch, #running-req: 1, #token: 4739, token usage: 0.01, accept len: 2.70, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 251.71, #queue-req: 0
[2026-04-02 15:14:28 TP0] Decode batch, #running-req: 1, #token: 4861, token usage: 0.01, accept len: 3.02, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 246.67, #queue-req: 0
[2026-04-02 15:14:29 TP0] Decode batch, #running-req: 1, #token: 4988, token usage: 0.01, accept len: 3.20, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 290.93, #queue-req: 0
[2026-04-02 15:14:29 TP0] Decode batch, #running-req: 1, #token: 5113, token usage: 0.01, accept len: 3.08, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 279.78, #queue-req: 0
[2026-04-02 15:14:30 TP0] Decode batch, #running-req: 1, #token: 5233, token usage: 0.01, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 277.24, #queue-req: 0
[2026-04-02 15:14:30 TP0] Decode batch, #running-req: 1, #token: 5361, token usage: 0.01, accept len: 3.20, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 289.41, #queue-req: 0
[2026-04-02 15:14:30 TP0] Decode batch, #running-req: 1, #token: 5494, token usage: 0.01, accept len: 3.27, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 295.32, #queue-req: 0
[2026-04-02 15:14:31 TP0] Decode batch, #running-req: 1, #token: 5605, token usage: 0.01, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 256.38, #queue-req: 0
[2026-04-02 15:14:31 TP0] Decode batch, #running-req: 1, #token: 5715, token usage: 0.01, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 241.91, #queue-req: 0
[2026-04-02 15:14:32 TP0] Decode batch, #running-req: 1, #token: 5837, token usage: 0.01, accept len: 3.08, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 277.87, #queue-req: 0
[2026-04-02 15:14:32 TP0] Decode batch, #running-req: 1, #token: 5941, token usage: 0.01, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 239.60, #queue-req: 0
[2026-04-02 15:14:33 TP0] Decode batch, #running-req: 1, #token: 6051, token usage: 0.01, accept len: 2.75, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 247.73, #queue-req: 0
[2026-04-02 15:14:33 TP0] Decode batch, #running-req: 1, #token: 6173, token usage: 0.01, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 274.82, #queue-req: 0
[2026-04-02 15:14:34 TP0] Decode batch, #running-req: 1, #token: 6318, token usage: 0.01, accept len: 3.58, accept rate: 0.89, cuda graph: True, gen throughput (token/s): 319.33, #queue-req: 0
[2026-04-02 15:14:34 TP0] Decode batch, #running-req: 1, #token: 6471, token usage: 0.01, accept len: 3.88, accept rate: 0.97, cuda graph: True, gen throughput (token/s): 342.40, #queue-req: 0
[2026-04-02 15:14:35 TP0] Decode batch, #running-req: 1, #token: 6596, token usage: 0.01, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 257.82, #queue-req: 0
[2026-04-02 15:14:35 TP0] Decode batch, #running-req: 1, #token: 6726, token usage: 0.01, accept len: 3.25, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 286.77, #queue-req: 0
[2026-04-02 15:14:35 TP0] Decode batch, #running-req: 1, #token: 6857, token usage: 0.01, accept len: 3.35, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 299.76, #queue-req: 0
[2026-04-02 15:14:36 TP0] Decode batch, #running-req: 1, #token: 6965, token usage: 0.01, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 239.33, #queue-req: 0
[2026-04-02 15:14:36 TP0] Decode batch, #running-req: 1, #token: 7067, token usage: 0.01, accept len: 2.50, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 227.91, #queue-req: 0
[2026-04-02 15:14:37 TP0] Decode batch, #running-req: 1, #token: 7150, token usage: 0.01, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 192.75, #queue-req: 0
[2026-04-02 15:14:37 TP0] Decode batch, #running-req: 1, #token: 7234, token usage: 0.01, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 194.44, #queue-req: 0
[2026-04-02 15:14:38 TP0] Decode batch, #running-req: 1, #token: 7324, token usage: 0.01, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 200.86, #queue-req: 0
[2026-04-02 15:14:38 TP0] Decode batch, #running-req: 1, #token: 7410, token usage: 0.01, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 196.07, #queue-req: 0
[2026-04-02 15:14:38 TP0] Decode batch, #running-req: 1, #token: 7496, token usage: 0.01, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 193.03, #queue-req: 0
[2026-04-02 15:14:39 TP0] Decode batch, #running-req: 1, #token: 7567, token usage: 0.01, accept len: 1.77, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 161.36, #queue-req: 0
[2026-04-02 15:14:39 TP0] Decode batch, #running-req: 1, #token: 7650, token usage: 0.01, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 191.62, #queue-req: 0
[2026-04-02 15:14:40 TP0] Decode batch, #running-req: 1, #token: 7734, token usage: 0.01, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 188.57, #queue-req: 0
[2026-04-02 15:14:40 TP0] Decode batch, #running-req: 1, #token: 7812, token usage: 0.01, accept len: 1.98, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 179.46, #queue-req: 0
[2026-04-02 15:14:41 TP0] Decode batch, #running-req: 1, #token: 7889, token usage: 0.01, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 173.73, #queue-req: 0
